BRIT,TEMP
255,130
254,130
253,130
252,130
251,130
250,130
249,130
248,130
247,130
246,130
245,130
244,130
243,130
242,130
241,134.19
240,147.65
239,155.73
238,161.75
237,166.62
236,170.77
235,174.4
234,177.64
233,180.47
232,183.18
231,185.7
230,188.05
229,190.26
228,192.35
227,194.33
226,196.22
225,198.03
224,199.76
223,201.42
222,203.02
221,204.57
220,206.07
219,207.52
218,208.92
217,210.29
216,211.62
215,212.91
214,214.17
213,215.4
212,216.6
211,217.78
210,218.92
209,220.05
208,221.15
207,222.23
206,223.29
205,224.33
204,225.35
203,226.35
202,227.33
201,228.3
200,229.26
199,230.2
198,231.12
197,232.03
196,232.93
195,233.81
194,234.68
193,235.54
192,236.39
191,237.23
190,238.06
189,238.87
188,239.68
187,240.48
186,241.27
185,242.05
184,242.82
183,243.58
182,244.33
181,245.08
180,245.81
179,246.54
178,247.26
177,247.98
176,248.69
175,249.39
174,250.08
173,250.77
172,251.46
171,252.13
170,252.8
169,253.47
168,254.12
167,254.78
166,255.42
165,256.07
164,256.7
163,257.33
162,257.96
161,258.58
160,259.2
159,259.81
158,260.42
157,261.03
156,261.62
155,262.22
154,262.81
153,263.4
152,263.98
151,264.56
150,265.13
149,265.7
148,266.27
147,266.83
146,267.39
145,267.95
144,268.5
143,269.05
142,269.6
141,270.14
140,270.68
139,271.21
138,271.75
137,272.28
136,272.8
135,273.33
134,273.85
133,274.37
132,274.88
131,275.39
130,275.9
129,276.41
128,276.92
127,277.42
126,277.92
125,278.41
124,278.91
123,279.4
122,279.89
121,280.37
120,280.86
119,281.34
118,281.82
117,282.3
116,282.77
115,283.24
114,283.71
113,284.18
112,284.65
111,285.11
110,285.58
109,286.04
108,286.49
107,286.95
106,287.4
105,287.86
104,288.31
103,288.75
102,289.2
101,289.65
100,290.09
99,290.53
98,290.97
97,291.41
96,291.84
95,292.28
94,292.71
93,293.14
92,293.57
91,293.99
90,294.42
89,294.84
88,295.27
87,295.69
86,296.11
85,296.52
84,296.94
83,297.36
82,297.77
81,298.18
80,298.59
79,299
78,299.41
77,299.81
76,300.22
75,300.62
74,301.02
73,301.42
72,301.82
71,302.22
70,302.62
69,303.01
68,303.41
67,303.8
66,304.19
65,304.58
64,304.97
63,305.36
62,305.74
61,306.13
60,306.51
59,306.9
58,307.28
57,307.66
56,308.04
55,308.42
54,308.79
53,309.17
52,309.54
51,309.92
50,310.29
49,310.66
48,311.03
47,311.4
46,311.77
45,312.14
44,312.51
43,312.87
42,313.24
41,313.6
40,313.96
39,314.32
38,314.68
37,315.04
36,315.4
35,315.76
34,316.12
33,316.47
32,316.83
31,317.18
30,317.53
29,317.88
28,318.24
27,318.59
26,318.94
25,319.28
24,319.63
23,319.98
22,320.32
21,320.67
20,321.01
19,321.36
18,321.7
17,322.04
16,322.38
15,322.72
14,323.06
13,323.4
12,323.74
11,324.07
10,324.41
9,324.74
8,325.08
7,325.41
6,325.75
5,326.08
4,326.41
3,326.74
2,327.07
1,327.4
0,327.73
